*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=¹âÃô×·¹âÆ÷
*Date=09:44:28
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
184;;;55.1542;-44.5198;0;Bottom;Hole57
185;3V;;58.9643;-49.5998;-90;Bottom;VCC8
186;;;60.2343;-21.6598;0;Bottom;Hole86
187;220;THT;9.43431;-77.5398;-90;Bottom;R14
188;10;THT;32.2943;-8.95979;90;Bottom;R1
189;;THT;4.35431;-78.8098;90;Bottom;R15
190;10;THT;75.4743;-77.5398;90;Bottom;R19
191;;;42.4543;-36.8998;0;Bottom;Hole118
192;3V;;58.9643;-3.87979;-90;Bottom;VCC7
193;;;37.3742;-44.5198;0;Bottom;Hole36
194;;;42.4543;-19.1198;0;Bottom;Hole124
195;;;47.5343;-21.6598;0;Bottom;Hole96
